PLAYERPLAYER,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,HRHR,RBIRBI,BBBB,caret-upcaret-downSOcaret-upcaret-downSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1DansbyD SwansonSwansonSS1‌‌‌,ATL,13,46,3,7,4,0,0,2,4,21,0,0,0.152,0.22,0.239,0.459
2JoJo AdellAdellLF2‌‌‌,LAA,11,39,3,9,3,0,2,4,1,19,0,0,0.231,0.25,0.462,0.712
3AristidesA AquinoAquinoLF3‌‌‌,CIN,10,34,3,2,0,0,1,2,2,18,0,0,0.059,0.111,0.147,0.258
3JoeyJ VottoVotto1B3‌‌‌,CIN,12,42,3,5,1,0,0,2,4,18,0,0,0.119,0.229,0.143,0.372
5JoshJ DonaldsonDonaldson3B5‌‌‌,NYY,11,44,4,8,2,0,1,3,4,17,0,0,0.182,0.25,0.295,0.545
5AdamA DuvallDuvallCF5‌‌‌,ATL,13,46,5,10,4,0,0,7,4,17,0,0,0.217,0.294,0.304,0.598
5ShoheiS OhtaniOhtaniDH5‌‌‌,LAA,12,51,9,11,2,0,3,7,3,17,2,1,0.216,0.259,0.431,0.69
5JulioJ RodríguezRodriguezCF5‌‌‌,SEA,10,35,4,5,1,0,0,1,4,17,4,0,0.143,0.231,0.171,0.402
9WillyW AdamesAdamesSS9‌‌‌,MIL,12,44,7,8,2,0,1,3,7,16,0,1,0.182,0.294,0.295,0.589
9WilW MyersMyersRF9‌‌‌,SD,10,39,3,8,3,0,0,4,2,16,0,0,0.205,0.244,0.282,0.526
9LukeL VoitVoitDH9‌‌‌,SD,12,39,5,6,1,0,0,5,10,16,1,0,0.154,0.333,0.179,0.512
12JoeyJ BartBartC12‌‌‌,SF,8,25,4,6,1,0,2,4,5,15,1,0,0.24,0.367,0.52,0.887
12JoeyJ GalloGalloLF12‌‌‌,NYY,11,33,0,4,0,0,0,0,6,15,0,0,0.121,0.256,0.121,0.377
12TrentT GrishamGrishamCF12‌‌‌,SD,13,42,2,6,1,0,1,1,7,15,0,0,0.143,0.265,0.238,0.503
12JoshJ LoweLoweLF12‌‌‌,TB,11,37,5,6,0,1,0,2,5,15,1,0,0.162,0.262,0.216,0.478
12CedricC MullinsMullinsCF12‌‌‌,BAL,11,44,2,8,1,1,2,8,3,15,1,0,0.182,0.25,0.386,0.636
12SeanS MurphyMurphyC12‌‌‌,OAK,12,47,7,11,5,1,2,8,2,15,0,0,0.234,0.275,0.511,0.786
12ChadC PinderPinderLF12‌‌‌,OAK,10,38,6,9,2,0,2,6,0,15,1,0,0.237,0.237,0.447,0.684
12FranmilF ReyesReyesDH12‌‌‌,CLE,9,40,1,6,0,0,0,2,1,15,0,0,0.15,0.171,0.15,0.321
12GiancarloG StantonStantonDH12‌‌‌,NYY,11,43,3,11,1,0,2,8,1,15,0,0,0.256,0.267,0.419,0.686
12PatrickP WisdomWisdom3B12‌‌‌,CHC,11,36,5,9,5,0,2,10,3,15,0,1,0.25,0.3,0.556,0.856
22CodyC BellingerBellingerCF22‌‌‌,LAD,11,39,5,10,2,0,2,3,5,14,3,1,0.256,0.341,0.462,0.803
22CarlosC CorreaCorreaSS22‌‌‌,MIN,10,38,5,7,2,0,1,2,5,14,0,0,0.184,0.279,0.316,0.595
22StevenS DuggarDuggarCF22‌‌‌,SF,10,31,1,6,3,0,0,4,2,14,4,0,0.194,0.235,0.29,0.525
22JorgeJ MateoMateoSS22‌‌‌,BAL,11,37,3,10,2,0,0,3,4,14,3,0,0.27,0.341,0.324,0.665
