Player,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1DansbyD SwansonSwansonSS1‌‌‌,ATL,17,58,5,10,4,1,0,4,6,26,1,0,0.172,0.25,0.276,0.526
2JulioJ RodríguezRodriguezCF2‌‌‌,SEA,15,56,7,11,3,0,0,5,6,25,6,0,0.196,0.274,0.25,0.524
3AdamA DuvallDuvallCF3‌‌‌,ATL,16,59,5,11,4,0,0,7,4,22,0,0,0.186,0.25,0.254,0.504
3JoeyJ GalloGalloLF3‌‌‌,NYY,16,48,1,7,1,0,0,1,7,22,0,0,0.146,0.255,0.167,0.422
3JarredJ KelenicKelenicRF3‌‌‌,SEA,15,52,5,8,1,1,2,7,5,22,3,1,0.154,0.224,0.327,0.551
3SeanS MurphyMurphyC3‌‌‌,OAK,17,66,10,16,7,1,3,11,2,22,0,0,0.242,0.282,0.515,0.797
3ShoheiS OhtaniOhtaniDH3‌‌‌,LAA,16,67,12,15,3,0,3,9,6,22,3,2,0.224,0.288,0.403,0.691
3GiancarloG StantonStantonDH3‌‌‌,NYY,15,59,3,12,1,0,2,8,1,22,0,0,0.203,0.213,0.322,0.535
3JoeyJ VottoVotto1B3‌‌‌,CIN,16,53,3,8,1,0,0,2,8,22,0,0,0.151,0.297,0.17,0.467
10JoJo AdellAdellLF10‌‌‌,LAA,14,49,4,12,3,0,3,8,1,21,1,0,0.245,0.26,0.49,0.75
10AristidesA AquinoAquinoRF10‌‌‌,CIN,12,38,3,2,0,0,1,2,2,21,0,0,0.053,0.1,0.132,0.232
10JoeyJ BartBartC10‌‌‌,SF,11,35,6,6,1,0,2,4,7,21,1,0,0.171,0.326,0.371,0.697
10JoshJ LoweLoweLF10‌‌‌,TB,14,47,6,8,1,2,0,3,5,21,1,0,0.17,0.25,0.277,0.527
10FranmilF ReyesReyesDH10‌‌‌,CLE,13,55,4,10,0,0,2,5,2,21,0,0,0.182,0.211,0.291,0.502
10PatrickP WisdomWisdom3B10‌‌‌,CHC,15,48,9,12,5,0,2,11,6,21,0,1,0.25,0.327,0.479,0.806
16CodyC BellingerBellingerCF16‌‌‌,LAD,15,55,7,15,3,1,4,8,5,20,3,1,0.273,0.333,0.582,0.915
16BoB BichetteBichetteSS16‌‌‌,TOR,16,69,7,15,2,0,1,4,2,20,1,1,0.217,0.239,0.29,0.529
16JoshJ DonaldsonDonaldson3B16‌‌‌,NYY,16,55,7,10,3,0,2,4,9,20,0,1,0.182,0.308,0.345,0.653
16AdalbertoA MondesiMondesiSS16‌‌‌,KC,14,48,3,6,0,0,0,2,3,20,5,0,0.125,0.176,0.125,0.301
16KyleK SchwarberSchwarberLF16‌‌‌,PHI,15,59,9,10,2,0,4,9,5,20,0,0,0.169,0.246,0.407,0.653
21WillyW AdamesAdamesSS21‌‌‌,MIL,16,58,9,11,2,0,1,4,9,19,1,1,0.19,0.299,0.276,0.575
21BryceB HarperHarperRF21‌‌‌,PHI,16,62,12,14,6,0,2,11,6,19,1,0,0.226,0.3,0.419,0.719
21RyanR MountcastleMountcastle1B21‌‌‌,BAL,16,65,6,16,1,0,1,7,2,19,1,0,0.246,0.279,0.308,0.587
21ChristianC YelichYelichLF21‌‌‌,MIL,15,52,6,10,4,0,1,8,8,19,2,0,0.192,0.302,0.327,0.629
25PeteP AlonsoAlonso1B25‌‌‌,NYM,17,67,9,17,3,0,3,16,2,18,0,0,0.254,0.297,0.433,0.73
