RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,95,349,44,82,0.235,19,1,16,51,151,48,130,0,0.333,0.433,0.766,2.5
2,Patrick WisdomCHC,3B,91,324,48,71,0.219,20,0,17,47,142,41,128,6,0.315,0.438,0.754,1.2
3,Kyle SchwarberPHI,LF,93,347,63,71,0.205,12,0,30,59,173,53,124,4,0.313,0.499,0.811,1.2
4,Adolis GarciaTEX,RF,90,359,53,89,0.248,17,4,17,58,165,22,109,14,0.292,0.46,0.752,2.1
4,Brandon MarshLAA,LF,86,274,31,61,0.223,8,1,8,36,95,20,109,7,0.28,0.347,0.627,0.6
6,C.J. CronCOL,1B,93,359,57,105,0.292,21,2,22,70,196,26,107,0,0.347,0.546,0.893,2.9
6,Dansby SwansonATL,SS,97,372,63,109,0.293,20,1,15,54,176,31,107,14,0.351,0.473,0.824,4.1
8,Aaron JudgeNYY,CF,94,357,80,105,0.294,16,0,37,81,232,47,106,9,0.376,0.65,1.025,5.1
8,Austin RileyATL,3B,95,373,58,109,0.292,23,1,28,63,218,30,106,2,0.354,0.584,0.939,4.3
10,Trevor StoryBOS,2B,81,307,49,68,0.221,17,0,15,58,130,28,105,10,0.289,0.423,0.713,2.1
10,Bo BichetteTOR,SS,95,397,53,102,0.257,21,0,14,52,165,27,105,7,0.304,0.416,0.719,1.1
12,Matt OlsonATL,1B,97,374,45,95,0.254,35,0,18,62,184,49,104,0,0.342,0.492,0.834,2
12,Jared WalshLAA,1B,89,326,36,79,0.242,15,2,13,41,137,16,104,1,0.284,0.42,0.704,0.3
14,Joey GalloNYY,RF,79,229,32,37,0.162,4,1,12,24,79,40,102,2,0.286,0.345,0.631,0.3
14,Luke VoitSD,DH,75,274,35,61,0.223,15,0,12,40,112,37,102,1,0.314,0.409,0.723,0.6
14,Julio RodriguezSEA,CF,91,346,53,95,0.275,18,2,16,52,165,26,102,21,0.337,0.477,0.814,3.6
17,Adam DuvallATL,CF,86,287,39,61,0.213,16,1,12,36,115,21,101,0,0.276,0.401,0.677,0
17,Chris TaylorLAD,LF,74,252,32,60,0.238,19,3,6,27,103,29,101,6,0.319,0.409,0.728,0.5
19,Cody BellingerLAD,CF,88,319,46,66,0.207,14,2,12,35,120,26,100,11,0.269,0.376,0.646,1.4
19,Rhys HoskinsPHI,1B,94,348,49,85,0.244,19,2,19,45,165,46,100,0,0.336,0.474,0.81,2.2
21,Franmil ReyesCLE,DH,63,238,22,51,0.214,8,0,9,28,86,13,99,1,0.256,0.361,0.617,-0.8
22,Nick CastellanosPHI,RF,94,367,36,90,0.245,20,0,8,46,134,22,98,4,0.29,0.365,0.655,-1.2
23,Mike TroutLAA,CF,79,282,55,76,0.27,17,2,24,51,169,39,97,1,0.368,0.599,0.967,3.8
24,Christian YelichMIL,LF,91,340,61,85,0.25,13,4,8,32,130,49,96,13,0.348,0.382,0.73,1.5
24,Ryan McMahonCOL,3B,91,319,37,76,0.238,15,3,7,41,118,41,96,5,0.332,0.37,0.701,1.7
26,Randy ArozarenaTB,LF,91,349,42,89,0.255,21,2,12,44,150,24,95,19,0.315,0.43,0.745,1
